fem,fgpa,sata,satm,satv
0,2.547,5.3,5.9,4.7
0,2.686,5.3,5.3,5.3
0,3.539,5.3,6,4.6
1,3.421,5.3,6,4.6
0,3.206,5.3,5.2,5.4
0,3.222,5.3,5.7,4.9
1,2.4,5.3,5.7,4.9
0,2.335,5.3,5.3,5.3
1,2.503,5.3,5.7,4.9
1,2.17,5.3,5.6,5
0,2.678,5.3,5.7,4.9
0,2.164,5.3,5.9,4.7
1,3.036,5.35,5.8,4.9
1,3.096,5.35,5.6,5.1
1,2.403,5.35,5.6,5.1
0,3.133,5.35,4.6,6.1
1,2.593,5.35,5.7,5
1,3.536,5.35,5.8,4.9
0,2.848,5.35,5.2,5.5
0,2.232,5.35,6.1,4.6
1,2.346,5.35,5.4,5.3
0,2.437,5.35,6.2,4.5
0,2.642,5.35,5.9,4.8
1,3.035,5.35,5.9,4.8
1,2.965,5.35,5.6,5.1
1,3.468,5.4,5.3,5.5
0,3.086,5.4,5.6,5.2
1,3.246,5.4,6.3,4.5
1,2.593,5.4,5.3,5.5
0,2.303,5.4,5.9,4.9
1,2.728,5.4,6.3,4.5
0,1.934,5.4,5.8,5
0,2.48,5.4,5.7,5.1
0,2.61,5.4,6.1,4.7
0,3.168,5.4,6.2,4.6
0,3.482,5.45,5.4,5.5
1,2.592,5.45,5.7,5.2
0,2.566,5.45,6,4.9
1,2.692,5.45,5.9,5
1,1.805,5.45,5.4,5.5
1,2.264,5.45,6.2,4.7
1,3.225,5.45,6,4.9
0,2.074,5.45,5.3,5.6
1,3.02,5.45,6.2,4.7
1,3.296,5.45,5.8,5.1
0,2.593,5.5,5.9,5.1
0,2.163,5.5,6,5
1,2.785,5.5,6,5
0,2.903,5.5,6.1,4.9
1,2.534,5.5,5.8,5.2
0,3.113,5.5,6.3,4.7
0,2.028,5.5,6.1,4.9
0,2.2,5.5,6,5
0,3.069,5.5,5.5,5.5
0,3.19,5.5,6.4,4.6
1,2.835,5.5,5.8,5.2
0,2.773,5.5,6.2,4.8
1,3.165,5.5,5.5,5.5
0,2.455,5.5,6.2,4.8
0,2.716,5.5,6.4,4.6
1,3.211,5.5,6.3,4.7
1,2.576,5.5,5.7,5.3
0,3.53,5.5,5.8,5.2
1,2.544,5.5,5.8,5.2
1,2.644,5.5,6.3,4.7
0,3.393,5.5,6,5
0,3.019,5.55,5.5,5.6
1,2.433,5.55,6.1,5
1,2.675,5.55,5.6,5.5
0,2.841,5.55,5.8,5.3
0,3.003,5.55,6.1,5
1,2.575,5.55,5.8,5.3
0,2.731,5.55,6,5.1
0,2.857,5.55,6.1,5
0,2.268,5.55,6,5.1
1,3.21,5.55,5.9,5.2
0,2.631,5.55,6.1,5
1,3.11,5.55,5.9,5.2
0,2.238,5.55,5.7,5.4
0,2.509,5.55,6.6,4.5
1,2.377,5.55,5.7,5.4
1,2.774,5.55,6,5.1
0,2.423,5.55,6,5.1
0,2.57,5.55,6.5,4.6
0,2.672,5.55,5.5,5.6
0,3.38,5.55,5.6,5.5
0,2.817,5.55,6.2,4.9
0,3.383,5.55,6.3,4.8
0,3.325,5.6,6.6,4.6
1,2.829,5.6,6.2,5
0,2.019,5.6,5.9,5.3
1,2.246,5.6,5.7,5.5
0,2.986,5.6,6.6,4.6
0,3.303,5.6,5.7,5.5
1,3.087,5.6,5.8,5.4
0,2.496,5.6,6,5.2
0,2.943,5.6,6.3,4.9
1,2.261,5.6,5.4,5.8
0,2.65,5.6,5.7,5.5
0,2.316,5.6,6,5.2
1,3.796,5.6,6.4,4.8
0,2.46,5.6,6.6,4.6
0,2.326,5.6,6.3,4.9
0,2.571,5.6,5.9,5.3
0,2.63,5.6,5.9,5.3
1,2.186,5.6,6.3,4.9
1,3.153,5.6,5.9,5.3
0,3.035,5.6,6.3,4.9
0,2.504,5.65,6.5,4.8
0,2.546,5.65,5.7,5.6
0,3.266,5.65,6.4,4.9
0,2.858,5.65,5.6,5.7
0,2.824,5.65,6.4,4.9
1,2.462,5.65,6.1,5.2
0,3.282,5.65,6,5.3
0,2.939,5.65,6.2,5.1
0,2.758,5.65,5.6,5.7
0,2.262,5.65,5.8,5.5
0,3.253,5.65,6,5.3
0,1.951,5.65,5.7,5.6
1,2.534,5.65,6,5.3
0,1.973,5.65,5.9,5.4
1,3.107,5.65,6,5.3
0,2.2,5.65,6.5,4.8
0,2.092,5.65,6.3,5
1,2.725,5.65,5.9,5.4
1,3.61,5.65,5.2,6.1
1,2.344,5.65,5.8,5.5
1,2.316,5.65,6.3,5
0,2.621,5.65,6.3,5
0,2.52,5.65,5.8,5.5
1,3.31,5.65,5.6,5.7
1,2.89,5.65,6.1,5.2
0,2.95,5.65,6.4,4.9
0,2.078,5.7,6.1,5.3
1,2.663,5.7,6.2,5.2
1,3.667,5.7,6.6,4.8
1,2.236,5.7,5.3,6.1
0,2.212,5.7,6.4,5
1,2.214,5.7,6.2,5.2
1,2.415,5.7,5.9,5.5
1,2.182,5.7,5.7,5.7
0,2.688,5.7,6.5,4.9
0,2.241,5.7,6.3,5.1
0,2.444,5.7,6.5,4.9
0,1.953,5.7,6.4,5
1,2.969,5.7,5.8,5.6
1,3.811,5.7,5.3,6.1
1,2.862,5.7,6.4,5
1,3.453,5.7,5.9,5.5
1,3.71,5.7,6,5.4
0,2.254,5.7,5.6,5.8
0,2.915,5.7,6,5.4
0,2.8,5.7,5.6,5.8
1,1.961,5.7,5.6,5.8
1,2.234,5.75,5.5,6
1,2.51,5.75,6.7,4.8
0,2.377,5.75,5.7,5.8
1,2.703,5.75,5.5,6
0,3.012,5.75,6.7,4.8
1,2.703,5.75,5.3,6.2
0,1.975,5.75,6,5.5
1,3.396,5.75,6.2,5.3
1,3.2,5.75,6.4,5.1
1,2.922,5.75,6.1,5.4
0,3.044,5.75,5.5,6
0,2.796,5.75,6.2,5.3
1,3.403,5.75,6.1,5.4
1,3.59,5.75,6.3,5.2
0,3.76,5.75,6.2,5.3
0,2.092,5.75,6,5.5
1,2.511,5.75,5.2,6.3
1,2.068,5.75,6.2,5.3
1,2.596,5.75,6.2,5.3
1,3.228,5.75,6.2,5.3
0,2.04,5.75,6.3,5.2
1,3.293,5.75,6.1,5.4
0,2.218,5.75,6.3,5.2
0,2.803,5.75,5.8,5.7
0,2.676,5.8,5.9,5.7
0,2.792,5.8,6.5,5.1
0,2.841,5.8,6.3,5.3
1,2.77,5.8,5.9,5.7
0,3.442,5.8,6.7,4.9
0,2.403,5.8,5.9,5.7
0,3.575,5.8,6.9,4.7
1,3.175,5.8,6.1,5.5
0,2.811,5.8,6.7,4.9
0,2.262,5.8,5.6,6
1,2.828,5.8,6,5.6
1,2.968,5.8,5.8,5.8
0,3.176,5.8,6.4,5.2
0,2.716,5.8,7.1,4.5
0,2.425,5.8,5.1,6.5
0,1.888,5.8,5.9,5.7
1,2.82,5.8,6.3,5.3
1,2.23,5.8,6.2,5.4
0,2.27,5.8,6.6,5
0,3.02,5.8,6.9,4.7
0,3.32,5.8,5.9,5.7
1,2.742,5.8,6.4,5.2
0,2.496,5.8,5.6,6
1,3.406,5.8,6.6,5
1,2.524,5.85,5.9,5.8
1,2.314,5.85,6.2,5.5
1,3.474,5.85,5.6,6.1
0,2.7,5.85,6.1,5.6
1,1.937,5.85,6.1,5.6
1,2.48,5.85,6.2,5.5
1,2.95,5.85,6.6,5.1
0,3.24,5.85,6.1,5.6
0,2.471,5.85,6.5,5.2
0,2.383,5.85,6.3,5.4
0,2.456,5.85,6.5,5.2
0,2.709,5.85,6.5,5.2
0,2.539,5.85,6.2,5.5
0,2.618,5.85,6.8,4.9
0,2.039,5.85,6.6,5.1
0,2.507,5.85,5.8,5.9
1,2.693,5.85,6.6,5.1
0,2.796,5.85,6.4,5.3
0,2.668,5.85,6.7,5
1,2.853,5.85,6,5.7
1,3.103,5.85,6.4,5.3
0,2.375,5.85,6.2,5.5
0,3.22,5.85,6.9,4.8
0,2.606,5.85,6.5,5.2
0,2.703,5.85,6,5.7
0,2.291,5.85,6.5,5.2
1,3.208,5.9,6.5,5.3
1,2.707,5.9,6.6,5.2
0,3.116,5.9,6.7,5.1
1,2.269,5.9,6.2,5.6
1,2.934,5.9,5.7,6.1
0,2.792,5.9,5.6,6.2
1,2.824,5.9,5.5,6.3
0,1.976,5.9,6.5,5.3
0,2.868,5.9,6,5.8
0,2.239,5.9,6.3,5.5
1,3.135,5.9,6.1,5.7
0,3.02,5.9,6.5,5.3
1,3.6,5.9,6.7,5.1
0,2.615,5.9,6.2,5.6
1,2.575,5.9,6,5.8
0,1.96,5.9,6.6,5.2
1,2.458,5.9,6.4,5.4
0,2.68,5.9,6.6,5.2
0,2.29,5.95,6.2,5.7
1,1.953,5.95,6.3,5.6
0,3.151,5.95,6.1,5.8
0,2.653,5.95,6,5.9
1,2.24,5.95,6.4,5.5
1,3.411,5.95,6.3,5.6
1,2.806,5.95,6.5,5.4
1,2.211,5.95,6.4,5.5
0,2.61,5.95,6.3,5.6
0,2.15,5.95,5.9,6
0,3.634,5.95,6.4,5.5
0,3.028,5.95,6.4,5.5
1,2,5.95,5.9,6
0,2.028,5.95,6.2,5.7
0,2.066,5.95,6.4,5.5
1,3.728,5.95,6.3,5.6
0,2.081,5.95,6.5,5.4
1,3.279,5.95,6.2,5.7
1,3.173,5.95,6.7,5.2
1,2.139,5.95,5.9,6
0,2.669,6,6.4,5.6
1,2.827,6,6,6
0,2.786,6,6.2,5.8
0,2.817,6,6.3,5.7
1,3.175,6,5.9,6.1
0,2.688,6,6.2,5.8
1,2.948,6,6.4,5.6
0,2.412,6,5.3,6.7
1,2.935,6,6.3,5.7
0,2.535,6,6.9,5.1
1,2.521,6,5.9,6.1
0,3.689,6,6.9,5.1
0,2.626,6,6.4,5.6
0,2.015,6,5.7,6.3
1,3.613,6,6.2,5.8
1,3.119,6,6.8,5.2
0,2.873,6,6.3,5.7
1,2.607,6,6.1,5.9
0,2.955,6,6.4,5.6
1,2.855,6,5.9,6.1
1,2.746,6,7.2,4.8
0,3.237,6.05,6.9,5.2
1,3.785,6.05,5.7,6.4
0,3.125,6.05,6.6,5.5
0,2.977,6.05,6.7,5.4
0,2.567,6.05,7.4,4.7
0,2.207,6.05,6.1,6
0,2.1,6.05,6.5,5.6
1,2.55,6.05,6.1,6
0,2.783,6.05,6.8,5.3
0,3.058,6.05,7,5.1
0,2.73,6.05,6.8,5.3
1,3.242,6.05,6.6,5.5
0,3.396,6.05,6.2,5.9
1,2.65,6.05,6.8,5.3
1,2.889,6.05,6.6,5.5
0,3.193,6.05,6.3,5.8
0,2.176,6.05,6.4,5.7
1,2.886,6.05,5.8,6.3
0,2.867,6.05,6.7,5.4
0,2.248,6.05,6.7,5.4
1,3.182,6.05,5.7,6.4
1,2.916,6.05,5.9,6.2
0,2.746,6.05,5.7,6.4
0,3.353,6.1,6.4,5.8
1,3.147,6.1,6.2,6
0,2.86,6.1,6.8,5.4
0,3.53,6.1,6.5,5.7
1,3.43,6.1,6.2,6
0,2.603,6.1,6,6.2
0,2.837,6.1,6.2,6
1,3.306,6.1,6.7,5.5
0,2.358,6.1,6.8,5.4
0,2.769,6.1,6.5,5.7
1,3.137,6.1,6.2,6
0,2.684,6.1,6.1,6.1
0,2.781,6.1,5.6,6.6
1,2.58,6.1,6,6.2
1,3.342,6.1,6.8,5.4
1,3.1,6.1,7,5.2
0,2.509,6.1,6.6,5.6
1,2.861,6.1,7.2,5
0,2.664,6.1,6.4,5.8
0,3.03,6.1,6.5,5.7
0,2.596,6.1,6.7,5.5
0,2.448,6.1,6.8,5.4
0,2.662,6.1,6.2,6
0,3.3,6.15,6.7,5.6
1,2.196,6.15,6.6,5.7
0,3.355,6.15,7.2,5.1
0,3.689,6.15,7.1,5.2
1,3.407,6.15,6.2,6.1
0,3.21,6.15,6.4,5.9
0,2.62,6.15,6.6,5.7
0,2.485,6.15,6.6,5.7
0,3.63,6.15,7,5.3
0,3.616,6.15,6.5,5.8
1,3.658,6.15,6.6,5.7
0,3.309,6.15,7,5.3
0,3.44,6.15,6.3,6
1,2.632,6.15,6.2,6.1
0,3.2,6.15,5.8,6.5
0,3.389,6.15,6.7,5.6
0,2.838,6.15,6.3,6
0,2.687,6.15,6.8,5.5
0,2.758,6.15,7.3,5
1,3.193,6.15,6.1,6.2
1,3.706,6.2,6.6,5.8
1,2.925,6.2,6.4,6
0,3.479,6.2,6.8,5.6
1,2.779,6.2,6.2,6.2
0,2.773,6.2,6.6,5.8
0,2.95,6.2,6.6,5.8
0,2.665,6.2,7.1,5.3
1,1.988,6.2,6.4,6
1,2.29,6.2,6.5,5.9
1,3.68,6.2,6.4,6
0,2.828,6.2,6.6,5.8
0,3.324,6.2,6.6,5.8
0,2.5,6.2,6.6,5.8
1,3.455,6.2,6.2,6.2
0,3.096,6.2,6,6.4
0,3.013,6.2,7.3,5.1
0,2.63,6.2,7.1,5.3
0,2.072,6.2,7.2,5.2
0,2.768,6.2,6.5,5.9
1,2.09,6.2,6.4,6
0,2.878,6.2,6.2,6.2
1,3.803,6.2,6.4,6
0,2.592,6.2,6.4,6
1,2.951,6.25,6.5,6
0,2.485,6.25,6.8,5.7
1,2.935,6.25,6.4,6.1
0,2.541,6.25,6.5,6
0,3.207,6.25,6.7,5.8
0,2.371,6.25,6.5,6
0,2.931,6.25,6.6,5.9
1,2.859,6.25,6.4,6.1
0,2.75,6.25,7.2,5.3
0,2.661,6.25,6.8,5.7
0,2.361,6.25,7,5.5
0,2.234,6.25,6,6.5
0,2.793,6.25,6.5,6
0,2.675,6.25,6.6,5.9
1,3.644,6.25,6.5,6
1,3.648,6.25,6.1,6.4
1,3.6,6.25,7,5.5
0,2.695,6.25,6.1,6.4
0,2.86,6.25,6.6,5.9
1,2.593,6.25,5.8,6.7
0,2.89,6.25,6.8,5.7
0,3.226,6.25,7.7,4.8
1,2.7,6.3,6.2,6.4
0,2.871,6.3,6.9,5.7
0,2.317,6.3,6.9,5.7
0,2.43,6.3,6.6,6
0,2.834,6.3,6.9,5.7
0,2.55,6.3,6.2,6.4
1,2.984,6.3,6.3,6.3
0,2.126,6.3,6.7,5.9
1,2.261,6.3,5.9,6.7
0,2.323,6.3,6.4,6.2
1,2.635,6.3,6.5,6.1
0,2.688,6.3,7.3,5.3
1,2.303,6.3,6.6,6
0,2.28,6.3,6.5,6.1
1,3.768,6.3,6.7,5.9
0,2.619,6.3,6.3,6.3
0,2.974,6.3,7.8,4.8
0,2.742,6.3,6,6.6
0,2.989,6.3,6.9,5.7
0,2.732,6.3,6.5,6.1
0,3.439,6.3,7.1,5.5
1,2.157,6.35,6.6,6.1
0,2.64,6.35,6.9,5.8
0,2.929,6.35,6.8,5.9
0,2.16,6.35,6,6.7
0,2.669,6.35,7.2,5.5
0,2.485,6.35,7.1,5.6
1,3.023,6.35,6.5,6.2
1,3.321,6.35,6.4,6.3
0,2.873,6.35,6.8,5.9
1,3.175,6.35,6,6.7
1,3.2,6.35,6.7,6
0,2.724,6.35,6.3,6.4
0,2.267,6.35,6.6,6.1
0,3.457,6.35,7.2,5.5
0,2.735,6.35,6.7,6
0,2.833,6.35,7.4,5.3
0,2.78,6.35,6.9,5.8
0,3.196,6.35,6.4,6.3
1,2.02,6.4,6.7,6.1
1,2.811,6.4,6.5,6.3
1,3.406,6.4,7.1,5.7
1,3.317,6.4,6.1,6.7
1,2.996,6.4,6.4,6.4
0,2.081,6.4,7.3,5.5
1,2.33,6.4,6.6,6.2
0,2.87,6.4,6.7,6.1
0,3.107,6.4,7.1,5.7
0,2.47,6.4,6.2,6.6
0,3.026,6.4,6.7,6.1
1,2.613,6.4,6.7,6.1
1,3.118,6.4,6.2,6.6
0,2.775,6.4,6.9,5.9
1,3.222,6.4,7.1,5.7
0,3.642,6.4,7.5,5.3
1,2.219,6.4,6.6,6.2
0,2.664,6.4,6,6.8
1,3.803,6.4,6.5,6.3
0,3.948,6.4,7,5.8
0,2.852,6.45,6,6.9
0,3.12,6.45,5.9,7
1,3.87,6.45,6.4,6.5
0,2.613,6.45,5.9,7
1,3.769,6.45,6.2,6.7
0,2.34,6.45,6.1,6.8
0,2.982,6.45,7.4,5.5
1,3.087,6.45,7.1,5.8
1,2.903,6.45,6.4,6.5
1,3,6.45,7.1,5.8
0,2.319,6.45,7.3,5.6
0,3.481,6.45,6.2,6.7
1,3,6.5,6.6,6.4
0,3.46,6.5,6.7,6.3
0,2.47,6.5,6.4,6.6
0,3.723,6.5,7.2,5.8
0,2.219,6.5,6.9,6.1
0,2.436,6.5,7.1,5.9
0,2.14,6.5,6.6,6.4
1,2.76,6.55,6.6,6.5
0,3.28,6.55,6.7,6.4
1,2.522,6.55,6.5,6.6
0,2.569,6.55,6.8,6.3
1,2.996,6.55,6.6,6.5
0,2.133,6.55,6.9,6.2
0,3.316,6.55,6.6,6.5
0,2.841,6.55,6.6,6.5
0,2.565,6.55,6.5,6.6
0,2.529,6.55,7.2,5.9
0,2.492,6.55,6.8,6.3
1,3.62,6.55,7,6.1
0,3.396,6.6,7.1,6.1
0,2.514,6.6,6.2,7
1,3.57,6.6,6.4,6.8
0,2.613,6.6,7.1,6.1
0,3.653,6.6,7.3,5.9
0,2.761,6.6,7.1,6.1
1,2.727,6.6,6.5,6.7
0,1.7,6.6,6.4,6.8
0,2.676,6.6,7.4,5.8
0,3.06,6.6,7.4,5.8
0,3.186,6.6,7.2,6
0,3.342,6.6,6.6,6.6
0,2.423,6.65,7.3,6
1,2.934,6.65,7.1,6.2
0,2.32,6.65,5.9,7.4
0,2.681,6.65,6.6,6.7
0,2.969,6.65,6.5,6.8
0,2.968,6.65,7.4,5.9
1,3.033,6.65,6.9,6.4
0,1.992,6.7,7,6.4
0,2.559,6.7,6.8,6.6
0,3.615,6.7,7.2,6.2
0,3.042,6.7,6.5,6.9
0,2.82,6.7,7.5,5.9
0,2.626,6.7,6.7,6.7
1,2.975,6.75,7,6.5
1,3.071,6.75,6.9,6.6
0,2,6.75,6.6,6.9
0,2.946,6.8,6.9,6.7
0,2.915,6.8,7,6.6
0,3.188,6.8,6.9,6.7
1,3.137,6.8,6.4,7.2
1,2.71,6.8,7.5,6.1
0,3.082,6.8,6.8,6.8
0,1.912,6.8,6.4,7.2
0,3.472,6.8,6.9,6.7
1,3.044,6.8,6.5,7.1
0,2.803,6.8,7.3,6.3
1,2.811,6.8,7.1,6.5
1,3.041,6.85,7.1,6.6
0,1.5,6.85,6.7,7
0,3.527,6.85,6.7,7
0,2.595,6.9,7.2,6.6
1,3.071,6.9,7.3,6.5
0,2.928,7,7.5,6.5
0,2.617,7.05,7.3,6.8
0,2.827,7.05,6.9,7.2
1,3.971,7.1,6.9,7.3
0,3.426,7.15,7.9,6.4
0,3.88,7.2,7.3,7.1
1,3.678,7.4,7.8,7
0,3.581,7.45,7.8,7.1
0,2.973,7.5,7.4,7.6
1,3.276,7.6,7.8,7.4
